MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Filename,QuasarProbability
b'USNO-A2.0 0975-05828446',08 18 29.654,+14 31 04.84,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_21.jpg,4.974115220664969e-16
b'GALEX 2694359858172398981',08 21 31.309,+14 24 54.09,7.0,7.0,48.0,47.0,0.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_22.jpg,0.9518943428993225
b'2MASS J08230044+1347282',08 23 00.441,+13 47 28.23,7.0,7.0,220.0,210.0,178.0,B,I,b'2003yCat.2246....0C',./Images/QuasarCandidate_23.jpg,3.642905994638568e-07
b'USNO-A2.0 0975-05823256',08 17 54.360,+13 49 16.72,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_24.jpg,7.246163136187533e-07
b'GALEX 2694359866762335093',08 18 20.001,+15 44 52.58,7.0,7.0,51.0,49.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_25.jpg,0.9100460410118103
b'GALEX 2694359862467366166',08 15 22.236,+14 32 06.68,7.0,7.0,46.0,44.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_26.jpg,0.9394824504852295
b'USNO-A2.0 0975-05842997',08 20 05.369,+14 25 10.96,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_27.jpg,0.006280598696321249
b'GALEX 2694359875352266659',08 12 30.072,+16 11 59.09,7.0,7.0,46.0,45.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_28.jpg,0.9739336967468262
b'GALEX 2694359862467367611',08 14 42.888,+14 54 09.69,7.0,7.0,50.0,43.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_29.jpg,0.9319471120834351
b'USNO-A2.0 0975-05842092',08 19 59.594,+13 40 19.67,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_30.jpg,3.147877407627675e-07
b'USNO-A2.0 0975-05853557',08 21 17.162,+13 49 08.62,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_31.jpg,6.150337183985499e-12
b'GALEX 2694359858172400180',08 17 48.832,+14 41 15.05,7.0,7.0,44.0,43.0,90.0,C,O,b'2009yCat.2294....0A',./Images/QuasarCandidate_32.jpg,0.9153547286987305
b'USNO-A2.0 0975-05849370',08 20 46.879,+14 24 58.75,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_33.jpg,0.05530376732349396
b'USNO-A2.0 0975-05850991',08 20 58.406,+14 19 04.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_34.jpg,0.9989385008811951
b'GALEX 2694359858172395936',08 19 19.582,+13 45 24.12,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_35.jpg,0.06906124949455261
b'USNO-A2.0 1050-05659552',08 17 14.899,+15 41 05.60,7.0,7.0,,,0.0,D,,b'2007ApJ...664...53A',./Images/QuasarCandidate_36.jpg,4.728279545673786e-09
